# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
israeli's	ˌɪzˈreɪliz
israelis	ˌɪzˈreɪliz
israelis'	ˌɪzˈreɪliz
israelite	ˈɪzrəˌlaɪt
israelites	ˈɪzrəˌlaɪts
israeloff	ˌɪˈsreɪlɔːf
israelson	ˈɪsrelsən
israhi	ˌɪzˈrɑːhi
isringhouser	ˈɪsrɪŋˌhaʊzər
issa	ˈɪsə
issac	ˈɪsək;ˈaɪzɪk
issah	ˈɪsə
issam	ˈɪsəm
issar	ˈiːˌsɑːr
issie	ˈɪsi
issing	ˈɪsɪŋ
issuable	ˈɪʃuəbəl
issuance	ˈɪʃuəns
issuances	ˈɪʃuənsɪz
issue	ˈɪʃu
issue's	ˈɪʃuz
issued	ˈɪʃud
issueless	ˈɪʃuləs
issuer	ˈɪʃuər
issuer's	ˈɪʃuərz
issuers	ˈɪʃuərz
issuers'	ˈɪsurz
issues	ˈɪʃuz
issues'	ˈɪsuz
issuing	ˈɪʃuɪŋ
issy	ˈɪsi
istanbul	ˌɪstɑːnˈbuːl
istat	ˈɪstæt
istel	ˈɪstel
istel's	ˈɪstelz
isthmus	ˈɪsməs
istituto	ˌɪstɪˈtuːtoʊ
istook	ˈɪˌstʊk
istre	ˈɪstər
isty	ˈɪsti;ˌaɪˌeˌstiːˈwaɪ
isu	ˈɪˌsuː;ˌaɪˌeˈsjuː
isuzu	ˌɪˈsuːˌzuː
it	ˈɪt;ɪt
it'd	ˈɪtəd
it'll	ˈɪtəl;ˈɪtl
it's	ˈɪts;ɪts
it-wit	ˌɪˈtwɪt
ita	ˈaɪtə;ˌaɪˌtiːˈeɪ
italia	iˈtæliə;ˌɪˈtæljə
italian	ˌɪˈtæljən
italiana	ˌɪˌtæliˈænə
italianate	ˌɪˈtæljəˌneɪt
italiano	ˌɪtɑːliˈɑːnoʊ
italians	ˌɪˈtæljənz
italic	aɪˈtælɪk
italics	aɪˈtælɪks
italish	ˌɪˈtælɪʃ
italtel	ˌɪˈtælˌtel
italy	ˈɪtəli
italy's	ˈɪtəliz
itamar	ˈiːtəˌmɑːr
itami	ˌɪˈtɑːˌmiː
itar	ˈiːˌtɑːr
itasca	aɪˈtæskɑː
itch	ˈɪtʃ
itches	ˈɪtʃəz;ˈɪtʃɪz
itching	ˈɪtʃɪŋ
itchy	ˈɪtʃi
itek	ˈaɪˌtek
itel	ˈaɪˌtel
item	ˈaɪtəm
itemize	ˈaɪtəˌmaɪz
itemized	ˈaɪtəˌmaɪzd
itemizer	ˈaɪtəˌmaɪzər
itemizers	ˈaɪtəˌmaɪzərz
itemizes	ˈaɪtəˌmaɪzɪz
itemizing	ˈaɪtəˌmaɪzɪŋ
items	ˈaɪtəmz
iten	ˈaɪtən
iteration	ˌɪtərˈeɪʃən
iterations	ˌɪtəˈreɪʃənz
iterative	ˈɪtərˌeɪtɪv
ithaca	ˈɪθəkə
ithaca's	ˈɪθəkəz
itinerant	aɪˈtɪnərənt
itineraries	aɪˈtɪnərˌeriz
itinerary	aɪˈtɪnərˌeri
itkin	ˌɪtˈkɪn
ito	ˈiːtoʊ;ˈiːˌtoʊ
ito's	ˈiːtoʊz;ˈiːˌtoʊz
itochu	ˌiːˈtoʊˌtʃuː
itoh	ˈiːtoʊ
its	ˈɪts;ɪts
itself	ˌɪtˈself
itstee	ˈɪtsti
itsy	ˈɪtsi
itsy-bitsy	ˌɪtsiˈbɪtsi
ittner	ˈɪtnər
itty	ˈɪti
itty-bitty	ˌɪtiˈbɪti
itunes	ˈaɪˌtuːnz
itzhak	ˈɪtsɑːk;ˈɪtsæk;ˈɪtshæk
itzkowitz	ˈɪtskəwɪts
iuliano	iuliˈɑːnoʊ;juliˈɑːnoʊ
iva	ˈiːvə
ivaco	ˈaɪvəˌkoʊ
ivan	ˈaɪvən
ivana	ˌɪˈvɑːnə
ivancic	ˌɪˈvæŋkɪk
ivane	ˈɪvən
ivanhoe	ˈaɪvənˌhoʊ
ivanko	iˈvɑːnkoʊ
ivanna	ˌɪˈvɑːnə
ivanoff	ˈɪvənɔːf
ivanov	ˈɪvənɑːv
ivanyenko	ˌaɪvəˈnjenkoʊ
ivar	ˈɪvər
ivatans	ˈaɪvətənz
ivax	ˈaɪvæks
iven	ˈaɪvən
ivens	ˈaɪvənz
iver	ˈaɪvər
ivern	ˈaɪvərn
ivers	ˈaɪvərz
iversen	ˌɪˈvɜːrsən
iverson	ˈaɪvərsən
ivery	ˈaɪvəri
ives	ˈaɪvz
ivester	ˌaɪˈvestər
ivey	ˈaɪvi
ivie	ˈaɪvi
ivins	ˈɪvɪnz
ivo	ˈaɪˌvoʊ
ivor	ˈaɪvər
ivorian	aɪˈvɔːriən
ivorians	aɪˈvɔːriənz
ivory	ˈaɪvəri;ˈaɪvri
ivory-coast	ˌaɪvəriˈkoʊst;ˌaɪvriˈkoʊst
ivy	ˈaɪvi
iwai	aɪˈwaɪ
iwaki	aɪˈwɑːki
iwamoto	ˌɪˌwɑːˈmoʊˌtoʊ
iwan	ˈiːwɑːn
iwanicki	ˌɪvəˈnɪtˌskiː
iwanski	ˌɪˈvænˌskiː
iwasaki	ˌiːˌwɑːˈsɑːˌkiː
iwata	ɪˈwɑːˌtɑː
iwate	aɪˈweɪt
iwen	ˈɪwən
iwerks	ˈaɪˌwɜːrks
iwinski	ˌɪˈvɪnˌskiː
iwo	ˈaɪwoʊ
iwosaki	ˌaɪwəˈsɑːki
ixion	ɪkˈsaɪən
iyer	ˈaɪər
izaguirre	ɪzəˈɡwɪreɪ;ˈɪzəˌɡwaɪr
izansky	ɪˈzænski
izansky's	ɪˈzænskiz
izard	ˈɪzərd
izatt	ˈiːzɑːt
izetbegovic	ˌɪzetˈbeɡoʊˌvɪtʃ
izetbegovic's	ˌɪzetˈbeɡoʊˌvɪtʃɪz
izod	ˈaɪzɑːd
izquierdo	ɪzˈkwɪrdoʊ
izumi	ɪˈzuːmi
izvestia	ɪzˈvestiə
izzard	ˈɪzərd
izzi	ˈɪzi
izzo	ˈɪzoʊ
izzy	ˈɪzi
izzy's	ˈɪziz
j	ˈdʒeɪ
j's	ˈdʒeɪz
ja	ˈjɑː
jaan	ˈjɑːn;ˈdʒæn
jab	ˈdʒæb
jabah	ˈdʒæbə
jabaliya	ˈdʒɑːbəˌliːə
jabar	dʒəˈbɑːr
jabar's	dʒəˈbɑːrz
jabbar	dʒəˈbɑːr
jabbed	ˈdʒæbd
jabbing	ˈdʒæbɪŋ
jabbour	ʒəˈbʊr
jaber	ˈdʒeɪbər
jablon	ˈdʒæblən
jablonowski	jəbləˈnɔːfski
jablonski	jəˈblɑːnski
jablonsky	jəˈblɑːnski
jabril	dʒəˈbriːl;dʒəˈbrɪl
jabs	ˈdʒæbz
jac	ˈdʒæk
jacek	ˈdʒɑːˌtʃek
jachim	ˈdʒækɪm
jacinda	dʒəˈsɪndə
jacinta	dʒəˈsɪntə
jacinth	ˈdʒæsɪnθ
jacintha	dʒəˈsɪnθə
jacinthe	ˈdʒæsɪnθ
jacinto	dʒəˈsɪntoʊ
jack	ˈdʒæk
jack's	ˈdʒæks
jacka	ˈdʒækə
jackal	ˈdʒækəl
jackass	ˈdʒæˌkæs
jacked	ˈdʒækt
jackel	ˈdʒækəl
jackelyn	ˈdʒækɪlɪn
jacket	ˈdʒækət;ˈdʒækɪt
jacketed	ˈdʒækətɪd
jackets	ˈdʒækɪts
jackett	ˈdʒækɪt
jackhammer	ˈdʒækˌhæmər
jackhammers	ˈdʒækˌhæmərz
jacki	ˈdʒæki
jacki's	ˈdʒækiz
jackie	ˈdʒæki
jackie's	ˈdʒækiz
jacking	ˈdʒækɪŋ
jackley	ˈdʒækli
jacklin	ˈdʒæklɪn
jacklyn	ˈdʒæklɪn
jackman	ˈdʒækmən
jacko	ˈdʒækoʊ
jackoby	ˈdʒækəbi
jackovich	ˈdʒækəvɪtʃ
jackowski	jəˈskɔːfski
jackpot	ˈdʒækˌpɑːt
jackpots	ˈdʒækˌpɑːts
jackrabbit	ˈdʒæˌkræbət
jacks	ˈdʒæks
jacksdeit	ˈdʒæksdiət
jackson	ˈdʒæksən
jackson's	ˈdʒæksənz
jacksonian	dʒækˈsoʊniən
jacksonians	dʒækˈsoʊniənz
jacksons	ˈdʒæksənz
jacksonville	ˈdʒæksənˌvɪl
jacksonville's	ˈdʒæksənˌvɪlz
jacky	ˈdʒæki
jacky's	ˈdʒækiz
jaclyn	ˈdʒæklɪn
jaco	ˈjɑːkoʊ
jacob	ˈdʒeɪkəb
jacob's	ˈdʒeɪkəbz
jacoba	jɑːˈkoʊbə
jacobe	ˈdʒækəb
jacobean	ˌdʒækəˈbiːən
jacober	ˈdʒeɪkəbər
jacobi	jɑːˈkoʊbi
jacobin	ˈdʒækəbən;ˈdʒækəbɪn
jacobina	jəkəˈbaɪnə
jacobine	ˈdʒækəˌbaɪn
jacobite	ˈdʒækəˌbaɪt
jacobites	ˈdʒækəˌbaɪts
jacobo	jɑːˈkoʊboʊ
jacoboski	ˌdʒækoʊˈbɔːski
jacobowitz	jəˈkɑːbəwɪts
jacobs	ˈdʒeɪkəbz
jacobs'	ˈdʒeɪˌkʌbz
jacobs's	ˈdʒeɪkəbzɪz
jacobsen	ˈdʒeɪkəbsən
jacobson	ˈdʒeɪkəbsən
jacobson's	ˈdʒeɪkəbsənz
jacobus	dʒəˈkoʊbəs
jacoby	dʒəˈkoʊbi
jacome	dʒəˈkoʊm
jacor	ˈdʒeɪˌkɔːr
jacot	ˈdʒækət
jacox	ˈdʒækɑːks
jacque	ˈʒeɪk
jacqueline	ˈdʒækwəlɪn;ˈdʒæklɪn;ˈdʒækəlɪn
jacquelyn	ˈdʒækwɪlɪn
jacques	ˈʒɑːk;ˈdʒæk
jacques'	ˈʒɑːks;ˈdʒæks
jacquet	ˈdʒæket;dʒæˈkeɪ
jacquetta	dʒɑːˈketə
jacquez	jɑːˈkwez
jacquie	ˈdʒækwi
jacquin	ˈdʒækwɪn
jacquot	ʒəˈkwoʊ
jacuzzi	dʒəˈkuːzi
jade	ˈdʒeɪd
jaded	ˈdʒeɪdəd;ˈdʒeɪdɪd
jadeite	ˈdʒeɪˌdaɪt
jades	ˈdʒeɪdz
jadwin	ˈdʒædwɪn
jae	ˈdʒeɪ
jae's	ˈdʒeɪz
jaeckel	ˈjekəl
jaegar	ˈdʒæɡər
jaeger	ˈdʒeɡər;ˈjæɡər
jaegers	ˈdʒeɡərz;ˈjæɡərz
jaekel	ˈjekəl
jaenicke	ˈjenɪk
jafco	ˈdʒæfkoʊ
jafco's	ˈdʒæfkoʊz
jaffa	ˈdʒæfə
jaffar	dʒəˈfɑːr
jaffe	ˈdʒæfi
jaffee	ˈdʒæfi
jaffey	ˈdʒæfi
jaffna	ˈdʒæfnə
jaffray	ˈdʒæfreɪ
jaffray's	ˈdʒæˌfreɪz
jaffrey	ˈdʒæfri
jagdish	ˈdʒæɡˌdɪʃ
jager	ˈdʒeɪɡər
jagged	ˈdʒæɡəd
jagger	ˈdʒæɡər
jagger's	ˈdʒæɡərz
jaggers	ˈdʒæɡərz
jagiello	dʒɑːˈdʒeloʊ
jagielski	jəˈɡiːlski
jaglom	ˈjæɡləm
jaglom's	ˈjæɡləmz
jago	ˈjɑːɡoʊ
jagoda	dʒɑːˈɡoʊdə
jagodzinski	jəɡəˈdʒɪnski
jagow	ˈjɑːɡoʊ
jags	ˈdʒæɡz
jagt	ˈdʒæt
jaguar	ˈdʒæˌɡwɑːr
jaguar's	ˈdʒæˌɡwɑːrz
jaguars	ˈdʒæˌɡwɑːrz
jahanian	dʒɑːˈheɪˌniːən
jahn	ˈdʒæn
jahner	ˈdʒɑːnər
jahnke	ˈdʒæŋk
jahns	ˈdʒɑːnz
jahr	ˈdʒɑːr
jai	ˈdʒaɪ;ˈhaɪ
jail	ˈdʒeɪl
jail's	ˈdʒeɪlz
jailbreak	ˈdʒeɪlˌbreɪk
jailed	ˈdʒeɪld
jailer	ˈdʒeɪlər
jailers	ˈdʒeɪlərz
jailhouse	ˈdʒeɪlˌhaʊs
jailing	ˈdʒeɪlɪŋ
jails	ˈdʒeɪlz
jaime	ˈhaɪmi
jaime's	ˈhaɪmiz
jaimes	ˈhaɪmiz
jaimie	ˈdʒeɪmi;ˈhaɪmi
jain	ˈdʒaɪn;ˈdʒeɪn
jainism	ˈdʒeɪnɪzəm
jaisigher	ˈdʒeɪsəɡər
jakab	ˈdʒækəb
jakarta	dʒəˈkɑːrtə
jakarta's	dʒəˈkɑːrtəz
jake	ˈdʒeɪk
jake's	ˈdʒeɪks
jakel	ˈdʒækəl
jakes	ˈdʒeɪks
jakeway	ˈdʒeɪˌkweɪ
jakie	ˈdʒæki
jakob	ˈdʒækəb
jakobsen	ˈdʒækəbsən
jakubek	jəˈkuːbek
jakubiak	jəˈkʌbiæk
jakubik	jəˈkuːbɪk
jakubowicz	jəˈkʌbəvɪtʃ
jakubowski	jəkəˈbɔːfski
jalalabad	dʒəˈlæləbæd
jalapeno	ˌhæləˈpiːnjoʊ;ˌdʒæləˈpiːnoʊ
jalapenos	ˌhæləˈpiːnjoʊz
jalbert	ˈdʒælbərt
jalopy	dʒəˈlɑːpi
jam	ˈdʒæm
jam's	ˈdʒæmz
jama	ˈdʒæmə
jamaica	dʒəˈmeɪkə
jamaica's	dʒəˈmeɪkəz
jamaican	dʒəˈmeɪkən
jamaicans	dʒəˈmeɪkənz
jamail	dʒəˈmeɪl
jamal	dʒəˈmɑːl
jamal's	dʒəˈmɑːlz
jamar	jɑːˈmɑːr
jamb	ˈdʒæm
jambalaya	ˌdʒʌmbəˈlaɪə
jambor	jɑːmˈbɔːr
jamerson	ˈdʒæmərsən
jamerson's	ˈdʒæmərsənz
james	ˈdʒeɪmz
james'	ˈdʒeɪmz
james's	ˈdʒeɪmzɪz
jameson	ˈdʒeɪmsən
jamestown	ˈdʒeɪmzˌtaʊn
jamesway	ˈdʒeɪmzˌweɪ
jami	ˈdʒeɪmi
jamie	ˈdʒeɪmi
jamie's	ˈdʒeɪmiz
jamieson	ˈdʒeɪmɪsən
jamila	dʒəˈmɪlə
jamison	ˈdʒeɪmɪsən
jammal	dʒɑːˈmɑːl
jammed	ˈdʒæmd
jammer	ˈdʒæmər
jammers	ˈdʒæmərz
jamming	ˈdʒæmɪŋ
jammu	dʒəˈmuː
jammu's	dʒəˈmuːz
jamrog	ˈdʒæmrəɡ
jamroz	ˈjɑːmroʊz
jams	ˈdʒæmz
jamshedpur	ˌdʒæmˈʃedpər
jamu	dʒæˈmuː
jan	ˈdʒæn
jan's	ˈdʒænz
jana	ˈdʒænə
janacek	ˈjænətʃek
janachowski	ˌdʒænəˈtʃaʊski
janak	ˈjænək
janardhan	dʒəˈnɑːrdən
janas	ˈdʒænəz
janata	dʒəˈnɑːtə
janca	ˈdʒæŋkə
janco	ˈdʒæŋkoʊ
janczak	ˈjæntʃæk
janda	ˈdʒændə
jandreau	ʒənˈdroʊ
jandt	ˈdʒænt
jane	ˈdʒeɪn
jane's	ˈdʒeɪnz
janeane	ˈdʒeɪˌnæn
janecek	ˈjænɪtʃek
janeczko	jəˈnetʃkoʊ
janeiro	dʒəˈneˌroʊ;ʒəˈneˌroʊ
janek	ˈjænek
janel	ˈdʒænəl
janella	dʒəˈnelə
janelle	ʒəˈnel
janes	ˈdʒeɪnz
janesville	ˈdʒeɪnzˌvɪl
janet	ˈdʒænət;ˈdʒænɪt
janet's	ˈdʒænəts;ˈdʒænɪts
janette	dʒəˈnet
janeway	ˈdʒeɪnˌweɪ
janey	ˈdʒeɪni
jang	ˈdʒæŋ
jangle	ˈdʒæŋɡəl
jangled	ˈdʒæŋɡəld
jani	ˈjɑːni
janiak	ˈjæniæk
janice	ˈdʒænəs;ˈdʒænɪs
janicek	ˈjænɪtʃek
janick	ˈdʒænɪk
janicke	ˈdʒænɪk
janicki	dʒəˈnɪki
janie	ˈdʒeɪni
janiero	dʒəˈneroʊ;dʒəˈnjeroʊ
janiga	ˈdʒænɪɡə
janii	dʒəˈniː
janik	ˈjænɪk
janikowski	jənɪˈkɔːfski
janina	dʒəˈniːnə
janine	dʒəˈniːn
janis	ˈdʒænɪs
janisch	ˈdʒænɪʃ
janish	ˈjænɪʃ
janiszewski	jənɪˈʃefski
janitor	ˈdʒænətər
janitorial	ˌdʒænɪˈtɔːriəl
janitors	ˈdʒænətərz
jank	ˈdʒæŋk
janka	ˈdʒæŋkə
janke	ˈdʒæŋk
jankiewicz	ˈjænkəvɪtʃ
janklow	ˈdʒæŋkloʊ
janko	ˈdʒæŋkoʊ
jankovic	ˈdʒæŋkəvɪk
jankovich	ˈdʒæŋkəvɪtʃ
jankowiak	jəŋˈkaʊiæk
jankowski	jəŋˈkɔːfski
jann	ˈdʒæn
janna	ˈdʒænə
janney	ˈdʒæni
janning	ˈdʒænɪŋ
jannock	ˈdʒænək
jannotta	dʒəˈnɑːtə
janoff	ˈdʒænɔːf
janofsky	dʒəˈnɔːfski
janos	ˈdʒænoʊs
janosik	jəˈnoʊsɪk
janoski	jəˈnaʊski
janosko	jəˈnoʊskoʊ
janosky	jəˈnoʊski
janota	jəˈnoʊtə
janousek	jəˈnuːsek
janovsky	dʒəˈnɑːvski
janow	ˈjænoʊ
janowiak	jəˈnaʊiæk
janowicz	ˈjænəvɪtʃ
janowitz	ˈjænəwɪts
janowski	jəˈnɔːfski
jans	ˈdʒænz
jansa	ˈdʒænsə
jansen	ˈdʒænsən
jansenism	ˈdʒænsɪˌnɪzəm
jansenist	ˈdʒænsənɪst
jansenists	ˈdʒænsənɪsts
jansky	ˈjænski
jansma	ˈjænsmə
janson	ˈdʒænsən
janssen	ˈdʒænsən
janssens	ˈdʒænsənz
jansson	ˈdʒænsən
janthina	jɑːnˈθiːnə
jantz	ˈdʒænts
jantzen	ˈdʒæntzən
january	ˈdʒænjuˌeri
january's	ˈdʒænjuˌeriz
janus	ˈdʒeɪnəs
janusz	ˈjɑːnʊʃ
januszewski	jənəˈʃefski
janvier	ˈdʒænviər
janvrin	ˈdʒænvrɪn
janz	ˈdʒænz
janzen	ˈdʒænzən
jap	ˈdʒæp
japan	dʒəˈpæn
japan's	dʒəˈpænz
japanese	ˌdʒæpəˈniːz
japanimation	dʒəˌpænɪˈmeɪʃən
japans	dʒəˈpænz
japonica	dʒəˈpɑːnəkə;dʒəˈpɑːnɪkə
japs	ˈdʒæps
jaqua	ˈjækwə
jaquay	ʒəˈkeɪ
jaques	ˈdʒæks
jaquess	ˈjɑːkwɪs
jaquez	jɑːˈkwez
jaquish	ˈdʒækwɪʃ
jaquith	ˈdʒækwɪθ
jar	ˈdʒɑːr
jara	ˈdʒɑːrə
jaramillo	ˌdʒærəˈmɪloʊ
jarara	dʒəˈrɑːrə
jarash	ˈdʒɑːrəʃ
jarboe	ˈdʒɑːrˌboʊ
jarchow	ˈdʒɑːrˌtʃaʊ
jardin	ˈdʒɑːrdɪn
jardine	ˈdʒɑːrˌdaɪn
jardine's	ˈdʒɑːrˌdaɪnz
jarecki	jərˈetski
jared	ˈdʒerɪd
jarema	jərˈiːmə
jares	ˈʒerz
jargon	ˈdʒɑːrɡən
jarislowsky	ˌdʒerɪˈslaʊski
jarman	ˈdʒɑːrmən
jarmin	ˈdʒɑːrmən
jarmin's	ˈdʒɑːrmənz
jarmon	jɑːrˈmɔːn
jarnagin	ˈdʒɑːrnədʒɪn
jarnigan	ˈdʒɑːrnɪɡæn
jaromir	ˈdʒærəmɪr;ˈjɑːrəmɪr
jaros	ˈjɑːroʊz
jarosz	ˈjɑːrəʃ
jaroszewski	jərəˈʃefski
jaroszynski	ˌdʒerəˈzɪnski
jarrard	ʒərˈɑːrd
jarratt	ˈdʒærət
jarreau	ʒərˈoʊ
jarred	ˈdʒɑːrd
jarrell	jɑːˈreɪl
jarrells	ˈdʒærəlz
jarrett	ˈdʒerət
jarriel	ʒərˈiːl
jarriel's	ʒərˈiːlz
jarring	ˈdʒɑːrɪŋ
jarrod	ˈdʒærə
jarryd	ˈdʒærɪd
jars	ˈdʒɑːrz
jaruzelski	ˌdʒerəˈzelski;ˌjærəˈzelski
jarvi	ˈdʒɑːrvi
jarvia	ˈdʒɑːrviə
jarvie	ˈdʒɑːrvi
jarvik	ˈdʒɑːrvɪk
jarvinen	ˈdʒɑːrvɪnən
jarvis	ˈdʒɑːrvəs;ˈdʒɑːrvɪs
jarvis's	ˈdʒɑːrvɪsɪz
jaryl	ˈdʒærəl
jarzombek	jərˈzɑːmbek
jas	ˈdʒæs
jasek	ˈjɑːsek
jasinowski	ˌdʒæsɪˈnaʊski
jasinski	jəˈsɪnski
jaskiewicz	ˈjɑːskəvɪtʃ
jasko	ˈjɑːskoʊ
jaskolski	jəˈskoʊlski
jaskot	ˈjɑːskət
jaskowiak	jəˈskaʊiæk
jaskulski	jəˈskʌlski
jasmer	ˈdʒæsəmər
jasmin	ˈdʒæzmɪn
jasmina	jəˈsmaɪnə
jasmine	ˈdʒæzmən;ˈdʒæzmɪn
jaso	ˈjɑːsoʊ
jason	ˈdʒeɪsən
jason's	ˈdʒeɪsənz
jaspal	ˈdʒæspɑːl
jasper	ˈdʒæspər
jasper's	ˈdʒæspərz
jaspers	ˈdʒæspərz
jasperson	ˈdʒæspərsən
jass	ˈdʒæs
jasso	ˈdʒæsoʊ
jaster	ˈdʒæstər
jauch	ˈdʒɔːtʃ
jaudon	jaʊˈdɔːn
jaundice	ˈdʒɔːndəs
jaundiced	ˈdʒɔːndɪst
jaunt	ˈdʒɔːnt
jauntily	ˈdʒɔːntəli
jaunts	ˈdʒɔːnts
jaunty	ˈdʒɔːnti
jauregui	jaʊˈreɪɡwi
jaurequi	jaʊˈreɪkwi
java	ˈdʒɑːvə
javan	dʒəˈvɑːn
javanese	ˌdʒɑːvəˈniːz
javascript	ˈdʒɑːvəˌskrɪpt
javelin	ˈdʒævələn;ˈdʒævəlɪn;ˈdʒævlən;ˈdʒævlɪn
javett	ˈdʒævət
javier	ˌhɑːviˈer
javits	ˈdʒævɪts
javorsky	jəˈvɔːrski
jaw	ˈdʒɔː
jawad	dʒəˈwɑːd
jawbone	ˈdʒɔːˌboʊn
jawboning	ˈdʒɔːˌboʊnɪŋ
jawed	ˈdʒɔːd
jaworowski	jəwərˈɔːfski
jaworski	dʒəˈwɔːrski
jaws	ˈdʒɔːz
jay	ˈdʒeɪ
jay's	ˈdʒeɪz
jaya	ˈdʒaɪə
jayachandra	ˌdʒaɪəˈtʃɑːndrə
jayashankar	ˌdʒaɪəˈʃɑːŋkɑːr
jaycee	ˌdʒeɪˈsiː
jaycees	ˌdʒeɪˈsiːz
jaycox	ˈdʒeɪˌkɑːks
jayden	ˈdʒeɪdən
jaye	ˈdʒeɪ
jayewardene	ˈdʒeɪwɔːrˌdiːn
jayhawker	ˈdʒeɪhɔːkər
jayme	ˈdʒeɪmi
jaymes	ˈdʒeɪmiz
jayne	ˈdʒeɪn
jaynes	ˈdʒeɪnz
jayroe	ˈdʒeɪˌroʊ
jays	ˈdʒeɪz
jayson	ˈdʒeɪzən
jaywalk	ˈdʒeɪˌwɔːk
jaywalking	ˈdʒeɪˌwɔːkɪŋ
jazeera	dʒəˈziːrə
jazmin	ˈdʒæzmɪn
jazz	ˈdʒæz
jazzed	ˈdʒæzd
jazzman	ˈdʒæzˌmæn
jazzmen	ˈdʒæzmən
jazzy	ˈdʒæzi
je	ˈdʒiː
jealous	ˈdʒeləs
jealousies	ˈdʒeləsiz
jealously	ˈdʒeləsli
jealousness	ˈdʒeləsnɪs
jealousy	ˈdʒeləsi
jean	ˈdʒiːn
jean's	ˈdʒiːnz
jean-baptiste	ˌʒɑːnbəpˈtɪst
jean-bertrand	ˌʒɑːnberˈtrɑːnd
jean-louis	ˌʒɑːnluˈiː
jean-luc	ʒenˈluːk
jean-michel	ˌʒɑːnməˈʃel
jean-michele	ˌʒɑːnməˈʃel
jean-pierre	ˌʒænˈpjer
jeana	ˈdʒiːnə
jeanbaptiste	ˈʒenbəptɪst
jeanbertrand	ˈdʒiːnbərtrənd;ˌʒɑːnberˈtrɑːnd
jeancourt	ˈdʒiːnˌkɔːrt;ˌʒɑːŋˈkɔːrt
jeane	ˈdʒiːn
jeaner	ˈdʒiːnər
jeanerette	ˌdʒiːnˈret
jeanes	ˈdʒiːnz
jeanette	dʒəˈnet
jeaney	ˈdʒiːni
jeanie	ˈdʒiːni
jeanine	dʒəˈniːn
jeanlouis	ˌʒɑːnluˈiːz
jeanmichele	ˌʒɑːnməˈʃel
jeanne	ˈdʒiːn
jeannette	dʒəˈnet
jeannie	ˈdʒiːni
jeanniot	ˈdʒiːniət
jeanpierre	ʒɔːnpiˈer
jeans	ˈdʒiːnz
jeansonne	ˈdʒensən
jeb	ˈdʒeb
jech	ˈdʒek
jed	ˈdʒed
jedi	ˈdʒeˌdiː
jedlicka	jɪˈdlɪskə
jee	ˈdʒiː
jeep	ˈdʒiːp
jeep's	ˈdʒiːps
jeepney	ˈdʒiːpni
jeeps	ˈdʒiːps
jeer	ˈdʒɪr
jeered	ˈdʒɪrd
jeering	ˈdʒiːrɪŋ
jeers	ˈdʒiːrz
jees	ˈdʒiːz
jeeter	ˈdʒiːtər
jeeves	ˈdʒiːvz
jeez	ˈdʒiːz
jeeze	ˈdʒiːz
jefcoat	ˈdʒefˌkoʊt
jeff	ˈdʒef
jeff's	ˈdʒefs
jeffcoat	ˈdʒefkoʊt
jeffe	ˈdʒef;ˈdʒefi
jeffer	ˈdʒefər
jefferey	ˈdʒefəri
jefferies	ˈdʒefriz
jefferies'	ˈdʒefəriz
jefferies's	ˈdʒefrizɪz
jefferis	ˈdʒefərɪs
jeffers	ˈdʒefərz
jefferson	ˈdʒefərsən
jefferson's	ˈdʒefərsənz
jeffersonian	ˌdʒefərˈsoʊniən
jeffersonians	ˌdʒefərˈsoʊniənz
jeffery	ˈdʒefəri
jefferys	ˈdʒefəriz
jeffey	ˈdʒefi
jeffords	ˈdʒefərdz
jeffress	ˈdʒefrɪs
jeffrey	ˈdʒefri
jeffrey's	ˈdʒefriz
jeffreys	ˈdʒefriz
jeffries	ˈdʒefriz
jeffry	ˈdʒefri
jeffs	ˈdʒefs
jeffus	ˈdʒefəs
jeffy	ˈdʒefi
jehle	ˈdʒehəl
jehovah	dʒəˈhoʊvə
jehovah's	dʒəˈhoʊvəz
jeju	ˈdʒeˌdʒuː
jejune	ˌdʒeˈdʒuːn
jekel	ˈdʒekəl
jekyll	ˈdʒekəl
jelen	ˈdʒelən
jelinek	ˈdʒelənɪk;ˈdʒelɪnek
jelinski	jɪˈlɪnski
jelisic	dʒəˈlɪsɪk
jelks	ˈdʒelks
jell	ˈdʒel
jelled	ˈdʒeld
jelley	ˈdʒeli
jellied	ˈdʒelid
jellies	ˈdʒeliz
jellison	ˈdʒelɪsən
jello	ˈdʒeloʊ
jello's	ˈdʒeloʊz
jelly	ˈdʒeli
jelly's	ˈdʒeliz
jellyfish	ˈdʒeliˌfɪʃ
jelton	ˈdʒeltən
jem	ˈdʒem
jem's	ˈdʒemz
jemie	ˈdʒemi
jemima	dʒeˈmiːmə
jemimah	dʒeˈmaɪmə
jemison	ˈdʒemɪsən
jemmie	ˈdʒemi
jemmott	ˈdʒemət
jen	ˈdʒen
jena	ˈdʒiːnə
jencks	ˈdʒeŋks
jendro	ˈdʒendroʊ
jenin	ˈdʒenɪn
jenison	ˈdʒenɪsən
jenkens	ˈdʒeŋkənz
jenkin	ˈdʒeŋkɪn
